county_fips,year,pm_value,data_comment
01001,2018,9.5,Modeled
01001,2019,10,Modeled
01001,2020,9.3,Modeled
01003,2018,7.2,NA
01003,2019,7.6,NA
01003,2020,7.8,NA
01005,2018,9,Modeled
01005,2019,9.4,Modeled
01005,2020,8.8,Modeled
01007,2018,9.4,Modeled
01007,2019,9.8,Modeled
01007,2020,8.6,Modeled
01009,2018,9.4,Modeled
01009,2019,9.6,Modeled
01009,2020,8.8,Modeled
01011,2018,9,Modeled
01011,2019,9.3,Modeled
01011,2020,8.4,Modeled
01013,2018,8.8,Modeled
01013,2019,9.1,Modeled
01013,2020,8.4,Modeled
01015,2018,9.4,Modeled
01015,2019,9.7,Modeled
01015,2020,8.9,Modeled
01017,2018,9.3,Modeled
01017,2019,9.8,Modeled
01017,2020,8.9,Modeled
01019,2018,9.2,Modeled
01019,2019,9.5,Modeled
01019,2020,8.4,Modeled
01021,2018,9.5,Modeled
01021,2019,9.9,Modeled
01021,2020,8.9,Modeled
01023,2018,9.2,Modeled
01023,2019,9.3,Modeled
01023,2020,8.7,Modeled
01025,2018,9.2,Modeled
01025,2019,9.5,Modeled
01025,2020,8.8,Modeled
01027,2018,7,NA
01027,2019,7.6,NA
01027,2020,6.8,NA
01029,2018,9,Modeled
01029,2019,9.4,Modeled
01029,2020,8.3,Modeled
01031,2018,8.6,Modeled
01031,2019,9.1,Modeled
01031,2020,8.9,Modeled
01033,2018,7.5,NA
01033,2019,8.1,Modeled
01033,2020,7.5,Modeled
01035,2018,8.8,Modeled
01035,2019,9.2,Modeled
01035,2020,8.5,Modeled
01037,2018,9.2,Modeled
01037,2019,9.6,Modeled
01037,2020,8.5,Modeled
01039,2018,8.6,Modeled
01039,2019,9.1,Modeled
01039,2020,8.6,Modeled
01041,2018,8.7,Modeled
01041,2019,9.1,Modeled
01041,2020,8.5,Modeled
01043,2018,9.3,Modeled
01043,2019,9.4,Modeled
01043,2020,8.7,Modeled
01045,2018,8.6,Modeled
01045,2019,9.1,Modeled
01045,2020,9,Modeled
01047,2018,9.1,Modeled
01047,2019,9.5,Modeled
01047,2020,8.7,Modeled
01049,2018,7.1,NA
01049,2019,7.5,NA
01049,2020,7.2,NA
01051,2018,9.6,Modeled
01051,2019,10,Modeled
01051,2020,9.4,Modeled
01053,2018,8.9,Modeled
01053,2019,9.3,Modeled
01053,2020,8.9,Modeled
01055,2018,7.7,NA
01055,2019,8.4,NA
01055,2020,7.9,NA
01057,2018,8.9,Modeled
01057,2019,9,Modeled
01057,2020,8.3,Modeled
01059,2018,8.5,Modeled
01059,2019,8.2,Modeled
01059,2020,7.5,Modeled
