county_fips,county,state_fips,state
01001,Autauga,01,Alabama
01003,Baldwin,01,Alabama
01005,Barbour,01,Alabama
01007,Bibb,01,Alabama
01009,Blount,01,Alabama
01011,Bullock,01,Alabama
01013,Butler,01,Alabama
01015,Calhoun,01,Alabama
01017,Chambers,01,Alabama
01019,Cherokee,01,Alabama
01021,Chilton,01,Alabama
01023,Choctaw,01,Alabama
01025,Clarke,01,Alabama
01027,Clay,01,Alabama
01029,Cleburne,01,Alabama
01031,Coffee,01,Alabama
01033,Colbert,01,Alabama
01035,Conecuh,01,Alabama
01037,Coosa,01,Alabama
01039,Covington,01,Alabama
01041,Crenshaw,01,Alabama
01043,Cullman,01,Alabama
01045,Dale,01,Alabama
01047,Dallas,01,Alabama
01049,DeKalb,01,Alabama
01051,Elmore,01,Alabama
01053,Escambia,01,Alabama
01055,Etowah,01,Alabama
01057,Fayette,01,Alabama
01059,Franklin,01,Alabama
01061,Geneva,01,Alabama
01063,Greene,01,Alabama
01065,Hale,01,Alabama
01067,Henry,01,Alabama
01069,Houston,01,Alabama
01071,Jackson,01,Alabama
01073,Jefferson,01,Alabama
01075,Lamar,01,Alabama
01077,Lauderdale,01,Alabama
01079,Lawrence,01,Alabama
01081,Lee,01,Alabama
01083,Limestone,01,Alabama
01085,Lowndes,01,Alabama
01087,Macon,01,Alabama
01089,Madison,01,Alabama
01091,Marengo,01,Alabama
01093,Marion,01,Alabama
01095,Marshall,01,Alabama
01097,Mobile,01,Alabama
01099,Monroe,01,Alabama
01101,Montgomery,01,Alabama
01103,Morgan,01,Alabama
01105,Perry,01,Alabama
01107,Pickens,01,Alabama
01109,Pike,01,Alabama
01111,Randolph,01,Alabama
01113,Russell,01,Alabama
01117,Shelby,01,Alabama
01115,St. Clair,01,Alabama
01119,Sumter,01,Alabama
01121,Talladega,01,Alabama
01123,Tallapoosa,01,Alabama
01125,Tuscaloosa,01,Alabama
01127,Walker,01,Alabama
01129,Washington,01,Alabama
01131,Wilcox,01,Alabama
01133,Winston,01,Alabama
02020,Anchorage,02,Alaska
02090,Fairbanks North Star,02,Alaska
02110,Juneau,02,Alaska
02170,Matanuska-Susitna,02,Alaska
04001,Apache,04,Arizona
04003,Cochise,04,Arizona
04005,Coconino,04,Arizona
04007,Gila,04,Arizona
04009,Graham,04,Arizona
04011,Greenlee,04,Arizona
